10,0
0,10
-10,0
-0,10
10,1
1,10
-10,1
-1,10
10,2
2,10
-10,2
-2,10
10,3
3,10
-10,3
-3,10
10,4
4,10
-10,4
-4,10
10,5
5,10
-10,5
-5,10
10,6
6,10
-10,6
-6,10
10,7
7,10
-10,7
-7,10
10,8
8,10
-10,8
-8,10
10,9
9,10
-10,9
-9,10
10,10
10,10
-10,10
-10,10
10,11
11,10
-10,11
-11,10
10,12
12,10
-10,12
-12,10
10,13
13,10
-10,13
-13,10
10,14
14,10
-10,14
-14,10
10,15
15,10
-10,15
-15,10
10,16
16,10
-10,16
-16,10
10,17
17,10
-10,17
-17,10
10,18
18,10
-10,18
-18,10
10,19
19,10
-10,19
-19,10
10,20
20,10
-10,20
-20,10
10,21
21,10
-10,21
-21,10
10,22
22,10
-10,22
-22,10
10,23
23,10
-10,23
-23,10
10,24
24,10
-10,24
-24,10
10,25
25,10
-10,25
-25,10
10,26
26,10
-10,26
-26,10
10,27
27,10
-10,27
-27,10
10,28
28,10
-10,28
-28,10
10,29
29,10
-10,29
-29,10
10,30
30,10
-10,30
-30,10
10,31
31,10
-10,31
-31,10
10,32
32,10
-10,32
-32,10
10,33
33,10
-10,33
-33,10
10,34
34,10
-10,34
-34,10
10,35
35,10
-10,35
-35,10
10,36
36,10
-10,36
-36,10
10,37
37,10
-10,37
-37,10
10,38
38,10
-10,38
-38,10
10,39
39,10
-10,39
-39,10
10,40
40,10
-10,40
-40,10
10,41
41,10
-10,41
-41,10
10,42
42,10
-10,42
-42,10
10,43
43,10
-10,43
-43,10
10,44
44,10
-10,44
-44,10
10,45
45,10
-10,45
-45,10
10,46
46,10
-10,46
-46,10
10,47
47,10
-10,47
-47,10
10,48
48,10
-10,48
-48,10
10,49
49,10
-10,49
-49,10
10,50
50,10
-10,50
-50,10
10,51
51,10
-10,51
-51,10
10,52
52,10
-10,52
-52,10
10,53
53,10
-10,53
-53,10
10,54
54,10
-10,54
-54,10
10,55
55,10
-10,55
-55,10
10,56
56,10
-10,56
-56,10
10,57
57,10
-10,57
-57,10
10,58
58,10
-10,58
-58,10
10,59
59,10
-10,59
-59,10
10,60
60,10
-10,60
-60,10
10,61
61,10
-10,61
-61,10
10,62
62,10
-10,62
-62,10
10,63
63,10
-10,63
-63,10
10,64
64,10
-10,64
-64,10
10,65
65,10
-10,65
-65,10
10,66
66,10
-10,66
-66,10
10,67
67,10
-10,67
-67,10
10,68
68,10
-10,68
-68,10
10,69
69,10
-10,69
-69,10
10,70
70,10
-10,70
-70,10
10,71
71,10
-10,71
-71,10
10,72
72,10
-10,72
-72,10
10,73
73,10
-10,73
-73,10
10,74
74,10
-10,74
-74,10
10,75
75,10
-10,75
-75,10
10,76
76,10
-10,76
-76,10
10,77
77,10
-10,77
-77,10
10,78
78,10
-10,78
-78,10
10,79
79,10
-10,79
-79,10
10,80
80,10
-10,80
-80,10
10,81
81,10
-10,81
-81,10
10,82
82,10
-10,82
-82,10
10,83
83,10
-10,83
-83,10
10,84
84,10
-10,84
-84,10
10,85
85,10
-10,85
-85,10
10,86
86,10
-10,86
-86,10
10,87
87,10
-10,87
-87,10
10,88
88,10
-10,88
-88,10
10,89
89,10
-10,89
-89,10
10,90
90,10
-10,90
-90,10
10,91
91,10
-10,91
-91,10
10,92
92,10
-10,92
-92,10
10,93
93,10
-10,93
-93,10
10,94
94,10
-10,94
-94,10
10,95
95,10
-10,95
-95,10
10,96
96,10
-10,96
-96,10
10,97
97,10
-10,97
-97,10
10,98
98,10
-10,98
-98,10
10,99
99,10
-10,99
-99,10
10,-0
0,-10
10,-0
0,-10
10,-1
1,-10
10,-1
1,-10
10,-2
2,-10
10,-2
2,-10
10,-3
3,-10
10,-3
3,-10
10,-4
4,-10
10,-4
4,-10
10,-5
5,-10
10,-5
5,-10
10,-6
6,-10
10,-6
6,-10
10,-7
7,-10
10,-7
7,-10
10,-8
8,-10
10,-8
8,-10
10,-9
9,-10
10,-9
9,-10
10,-10
10,-10
10,-10
10,-10
10,-11
11,-10
10,-11
11,-10
10,-12
12,-10
10,-12
12,-10
10,-13
13,-10
10,-13
13,-10
10,-14
14,-10
10,-14
14,-10
10,-15
15,-10
10,-15
15,-10
10,-16
16,-10
10,-16
16,-10
10,-17
17,-10
10,-17
17,-10
10,-18
18,-10
10,-18
18,-10
10,-19
19,-10
10,-19
19,-10
10,-20
20,-10
10,-20
20,-10
10,-21
21,-10
10,-21
21,-10
10,-22
22,-10
10,-22
22,-10
10,-23
23,-10
10,-23
23,-10
10,-24
24,-10
10,-24
24,-10
10,-25
25,-10
10,-25
25,-10
10,-26
26,-10
10,-26
26,-10
10,-27
27,-10
10,-27
27,-10
10,-28
28,-10
10,-28
28,-10
10,-29
29,-10
10,-29
29,-10
10,-30
30,-10
10,-30
30,-10
10,-31
31,-10
10,-31
31,-10
10,-32
32,-10
10,-32
32,-10
10,-33
33,-10
10,-33
33,-10
10,-34
34,-10
10,-34
34,-10
10,-35
35,-10
10,-35
35,-10
10,-36
36,-10
10,-36
36,-10
10,-37
37,-10
10,-37
37,-10
10,-38
38,-10
10,-38
38,-10
10,-39
39,-10
10,-39
39,-10
10,-40
40,-10
10,-40
40,-10
10,-41
41,-10
10,-41
41,-10
10,-42
42,-10
10,-42
42,-10
10,-43
43,-10
10,-43
43,-10
10,-44
44,-10
10,-44
44,-10
10,-45
45,-10
10,-45
45,-10
10,-46
46,-10
10,-46
46,-10
10,-47
47,-10
10,-47
47,-10
10,-48
48,-10
10,-48
48,-10
10,-49
49,-10
10,-49
49,-10
