-9.031,15.87,-1.447
-9.006,16.856,-1.491
-10.008,16.891,-1.51
-10.029,15.901,-1.395
-11.012,16.938,-1.54
-11.002,17.924,-1.549
-9.987,17.897,-1.486
-9.979,18.918,-1.545
-10.987,18.902,-1.585
-9.485,17.894,-1.496
-9.482,18.913,-1.572
-9.465,19.913,-1.615
-9.985,19.923,-1.594
-10.981,19.922,-1.604
-8,16.848,-1.382
-7.997,17.361,-1.395
-10,17.419,-1.452
-9.985,19.418,-1.542
-11.967,19.464,-1.623
-11.986,18.938,-1.601
-10.485,18.919,-1.538
-10.515,17.946,-1.51
-11.047,17.94,-0.996
-11.012,16.947,-1.46
-8.468,20.874,-1.534
-8.465,21.404,-1.59
-9.923,21.406,-1.713
-9.929,21.912,-1.699
-8.935,21.896,-1.678
-8.939,22.399,-1.713
-10.414,22.443,-1.711
-10.404,22.887,-1.755
-9.906,22.912,-1.8
-9.906,23.429,-1.775
-10.398,23.44,-1.796
-10.397,23.924,-1.782
-10.905,23.946,-1.735
-10.92,23.443,-1.721
-11.395,23.452,-1.735
-11.413,22.946,-1.738
-10.911,22.914,-1.791
-10.909,22.438,-1.732
-11.922,22.45,-1.826
-11.967,20.442,-1.675
-9.966,20.401,-1.616
-9.967,20.894,-1.676
